index,name,time,rating,item,sentiment,sentiment_score,source,어간,noun,v_ad,n_v_ad,review_sentence,replace_slang_sentence,name+item
14511,경쟁사,2022-07-01,4,식물등,부정,0.544258419,naver,"[('기둥', 'Noun'), ('을', 'Josa'), ('가다', 'Verb'), ('보다', 'Verb'), ('뒤', 'Noun'), ('에', 'Josa'), ('놓다', 'Verb'), ('사람', 'Noun'), ('이', 'Josa'), ('보다', 'Verb'), ('앞쪽', 'Noun'), ('에', 'Josa'), ('빛', 'Noun'), ('이', 'Josa'), ('자다', 'Verb'), ('안', 'Noun'), ('비추다', 'Verb')]","['기둥', '뒤', '사람', '앞쪽', '빛', '안']","['가다', '보다', '놓다', '보다', '자다', '비추다']","['기둥', '가다', '보다', '뒤', '놓다', '사람', '보다', '앞쪽', '빛', '자다', '안', '비추다']",기둥을 가려보려고 뒤에 놓으면 사람이 보는 앞쪽에 빛이 잘 안 비춰요,기둥 가다 보다 뒤 놓다 사람 보다 앞쪽 빛 자다 안 비추다,경쟁사(식물등)
14532,경쟁사,2021-12-08,4,식물등,부정,0.546885648,naver,"[('조금', 'Noun'), ('길이', 'Noun'), ('가', 'Josa'), ('더', 'Noun'), ('길다', 'Adjective'), ('싶다', 'Verb')]","['조금', '길이', '더']","['길다', '싶다']","['조금', '길이', '더', '길다', '싶다']",조금 길이가 더 길었으면 싶네요,조금 길이 더 길다 싶다,경쟁사(식물등)
14533,경쟁사,2021-12-08,4,식물등,부정,0.546177772,naver,"[('작', 'Noun'), ('지만', 'Josa'), ('광량', 'Noun'), ('은', 'Josa'), ('세다', 'Verb'), ('거', 'Noun'), ('같다', 'Adjective')]","['작', '광량', '거']","['세다', '같다']","['작', '광량', '세다', '거', '같다']",작지만 광량은 센 거 같고요,작 광량 세다 거 같다,경쟁사(식물등)
14534,경쟁사,2021-12-08,4,식물등,부정,0.545804378,naver,"[('우리', 'Noun'), ('집', 'Noun'), ('이', 'Josa'), ('북향', 'Noun'), ('이라', 'Josa'), ('해', 'Noun'), ('가', 'Josa'), ('없다', 'Adjective'), ('식물', 'Noun'), ('이', 'Josa'), ('자꾸', 'Noun'), ('죽다', 'Verb'), ('구매', 'Noun'), ('하다', 'Verb')]","['우리', '집', '북향', '해', '식물', '자꾸', '구매']","['없다', '죽다', '하다']","['우리', '집', '북향', '해', '없다', '식물', '자꾸', '죽다', '구매', '하다']",우리 집이 북향이라 해가 없어 식물이 자꾸 죽어서 구매했어요,우리 집 북향 해 없다 식물 자꾸 죽다 구매 하다,경쟁사(식물등)
14535,경쟁사,2021-12-08,4,식물등,부정,0.546301797,naver,"[('이', 'Noun'), ('아이', 'Noun'), ('도', 'Josa'), ('죽다', 'Verb'), ('다시', 'Noun'), ('살아나다', 'Verb')]","['이', '아이', '다시']","['죽다', '살아나다']","['이', '아이', '죽다', '다시', '살아나다']",이 아이도 죽어가는데 다시 살아나길,이 아이 죽다 다시 살아나다,경쟁사(식물등)
14568,경쟁사,2022-07-01,4,식물등,부정,0.546486872,naver,"[('다른', 'Noun'), ('건', 'Noun'), ('다', 'Adverb'), ('좋다', 'Adjective'), ('화분', 'Noun'), ('한계', 'Noun'), ('만', 'Josa'), ('비취', 'Noun'), ('줄', 'Noun'), ('때', 'Noun'), ('는', 'Josa'), ('아쉽다', 'Adjective'), ('점', 'Noun'), ('이', 'Josa'), ('있다', 'Adjective')]","['다른', '건', '화분', '한계', '비취', '줄', '때', '점']","['좋다', '아쉽다', '있다']","['다른', '건', '좋다', '화분', '한계', '비취', '줄', '때', '아쉽다', '점', '있다']",다른 건 다 좋은데 화분 한계만 비취 줄 때는 아쉬운 점이 있어요,다른 건 다 좋다 화분 한계 비취 줄 때 아쉽다 점 있다,경쟁사(식물등)
14569,경쟁사,2022-07-01,4,식물등,부정,0.544258419,naver,"[('기둥', 'Noun'), ('을', 'Josa'), ('가다', 'Verb'), ('보다', 'Verb'), ('뒤', 'Noun'), ('에', 'Josa'), ('놓다', 'Verb'), ('사람', 'Noun'), ('이', 'Josa'), ('보다', 'Verb'), ('앞쪽', 'Noun'), ('에', 'Josa'), ('빛', 'Noun'), ('이', 'Josa'), ('자다', 'Verb'), ('안', 'Noun'), ('비추다', 'Verb')]","['기둥', '뒤', '사람', '앞쪽', '빛', '안']","['가다', '보다', '놓다', '보다', '자다', '비추다']","['기둥', '가다', '보다', '뒤', '놓다', '사람', '보다', '앞쪽', '빛', '자다', '안', '비추다']",기둥을 가려보려고 뒤에 놓으면 사람이 보는 앞쪽에 빛이 잘 안 비춰요,기둥 가다 보다 뒤 놓다 사람 보다 앞쪽 빛 자다 안 비추다,경쟁사(식물등)
14624,경쟁사,2022-10-29,4,식물등,부정,0.548820707,naver,"[('겨울', 'Noun'), ('을', 'Josa'), ('대비', 'Noun'), ('하다', 'Verb'), ('구매', 'Noun'), ('하다', 'Verb')]","['겨울', '대비', '구매']","['하다', '하다']","['겨울', '대비', '하다', '구매', '하다']",겨울을 대비해 구매했습니다,겨울 대비 하다 구매 하다,경쟁사(식물등)
14625,경쟁사,2022-10-29,4,식물등,부정,0.549433032,naver,"[('받침', 'Noun'), ('이', 'Josa'), ('살짝', 'Noun'), ('부실하다', 'Adjective'), ('하지만', 'Conjunction'), ('화분', 'Noun'), ('에', 'Josa'), ('꽂다', 'Verb'), ('수', 'Noun'), ('있다', 'Adjective'), ('사용', 'Noun'), ('엔', 'Josa'), ('문제', 'Noun'), ('없다', 'Adjective')]","['받침', '살짝', '화분', '수', '사용', '문제']","['부실하다', '꽂다', '있다', '없다']","['받침', '살짝', '부실하다', '화분', '꽂다', '수', '있다', '사용', '문제', '없다']",받침이 살짝 부실한듯하지만 화분에 꽂을 수 있어서 사용엔 문제 없네요,받침 살짝 부실하다 하지만 화분 꽂다 수 있다 사용 문제 없다,경쟁사(식물등)
14628,경쟁사,2021-08-12,4,식물등,부정,0.546376172,naver,"[('빛', 'Noun'), ('생각', 'Noun'), ('보다', 'Josa'), ('멀리', 'Noun'), ('퍼지다', 'Verb'), ('좋다', 'Adjective')]","['빛', '생각', '멀리']","['퍼지다', '좋다']","['빛', '생각', '멀리', '퍼지다', '좋다']",빛 생각보다 멀리 퍼지고 좋아요,빛 생각 멀리 퍼지다 좋다,경쟁사(식물등)
