name,time,rating,source,item,kha_nng_은어전처리_sentence,감성결과,어간추출,sentence_조사제거
경쟁사,2022-07-11,1,naver,뿌리영양제,['효과'],부정,"[('저', 'Noun'), ('는', 'Josa'), ('효과', 'Noun'), ('없다', 'Adjective')]",저 효과 없다
경쟁사,2022-06-30,4,naver,뿌리영양제,"['집', '옆', '이름모', '풀', '입']",부정,"[('집', 'Noun'), ('옆', 'Noun'), ('에', 'Josa'), ('이름', 'Noun'), ('모르다', 'Verb'), ('풀', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('너무', 'Adverb'), ('자라다', 'Verb'), ('구입', 'Noun'), ('하다', 'Verb')]",집 옆 이름 모르다 풀 들 너무 자라다 구입 하다
경쟁사,2022-06-30,4,naver,뿌리영양제,['효과'],부정,"[('받다', 'Verb'), ('뿌리다', 'Verb'), ('효과', 'Noun'), ('가', 'Josa'), ('있다', 'Adjective'), ('좋다', 'Adjective')]",받다 뿌리다 효과 있다 좋다
경쟁사,2022-07-02,2,naver,뿌리영양제,"['잡초', '느낌', '잔디', '자', '느낌', '시', '번']",부정,"[('잡초', 'Noun'), ('는', 'Josa'), ('안', 'VerbPrefix'), ('죽다', 'Verb'), ('느낌', 'Noun'), ('상', 'Suffix'), ('잔디', 'Noun'), ('만', 'Josa'), ('무럭무럭', 'Noun'), ('자', 'Suffix'), ('라는', 'Josa'), ('느낌', 'Noun'), ('ㅜㅜ', 'KoreanParticle'), ('다시', 'Noun'), ('한번', 'Noun'), ('더', 'Noun'), ('사보다', 'Verb')]",잡초 안 죽다 느낌 상 잔디 무럭무럭 자 느낌 ㅜㅜ 다시 한번 더 사보다
경쟁사,2022-07-10,1,naver,뿌리영양제,"['이상', '사용', '효과']",부정,"[('3회', 'Number'), ('이상', 'Foreign'), ('사용', 'Noun'), ('하다', 'Verb'), ('효과', 'Noun'), ('가', 'Josa'), ('없다', 'Adjective')]",3회 이상 사용 하다 효과 없다
경쟁사,2022-06-26,4,naver,뿌리영양제,['효과'],부정,"[('효과', 'Noun'), ('는', 'Josa'), ('좋다', 'Adjective')]",효과 좋다
경쟁사,2022-06-26,4,naver,뿌리영양제,"['가격', '사용', '부담']",부정,"[('근데', 'Adverb'), ('저희', 'Modifier'), ('정원', 'Noun'), ('에', 'Josa'), ('충분하다', 'Adjective'), ('쓰기', 'Noun'), ('엔', 'Josa'), ('너무', 'Adverb'), ('가격', 'Noun'), ('이', 'Josa'), ('비싸다', 'Adjective'), ('1년', 'Number'), ('에', 'Foreign'), ('2', 'Number'), ('번', 'Noun'), ('사용', 'Noun'), ('은', 'Josa'), ('좀', 'Noun'), ('부담', 'Noun'), ('되다', 'Verb')]",근데 저희 정원 충분하다 쓰기 너무 가격 비싸다 1년 에 2 번 사용 좀 부담 되다
경쟁사,2022-07-03,3,naver,뿌리영양제,['재송'],부정,"[('돟아', 'Noun'), ('요', 'Josa'), ('재송', 'Noun'), ('고', 'Josa'), ('빨르다', 'Adjective')]",돟아 재송 빨르다
경쟁사,2022-07-03,3,naver,뿌리영양제,['풀이'],부정,"[('풀이', 'Noun'), ('안', 'VerbPrefix'), ('나다', 'Verb')]",풀이 안 나다
경쟁사,2022-06-27,1,naver,뿌리영양제,"['효과', '평', '사용', '때', '효과', '판매자', '해명']",부정,"[('효과', 'Noun'), ('가', 'Josa'), ('있다', 'Adjective'), ('평', 'Noun'), ('을', 'Josa'), ('보고', 'Noun'), ('사용', 'Noun'), ('하다', 'Verb'), ('내', 'Noun'), ('가', 'Josa'), ('볼때', 'Noun'), ('는', 'Josa'), ('전혀', 'Noun'), ('효과', 'Noun'), ('없다', 'Adjective'), ('판매', 'Noun'), ('자', 'Suffix'), ('의', 'Josa'), ('해명', 'Noun'), ('도', 'Josa'), ('있다', 'Adjective'), ('하다', 'Verb')]",효과 있다 평 보고 사용 하다 내 볼때 전혀 효과 없다 판매 자 해명 있다 하다
