name,time,rating,source,item,kha_nng_은어전처리_sentence,감성결과,어간추출,sentence_조사제거
경쟁사,2023-04-22,5,naver,식물영양제,"['수경', '재배', '사용', '구매']",긍정,"[('메리', 'Noun'), ('골드', 'Noun'), ('수경재배', 'Noun'), ('에', 'Josa'), ('사용', 'Noun'), ('하다', 'Verb'), ('구매', 'Noun'), ('하다', 'Verb')]",메리 골드 수경재배 사용 하다 구매 하다
경쟁사,2023-04-06,5,naver,식물영양제,"['틔움', '식물', '움', '양제']",긍정,"[('틔우다', 'Verb'), ('식물', 'Noun'), ('들', 'Suffix'), ('키우다', 'Verb'), ('틔우다', 'Verb'), ('영', 'Modifier'), ('양제', 'Noun'), ('는', 'Josa'), ('비싸다', 'Adjective'), ('ㅠㅠ', 'KoreanParticle')]",틔우다 식물 들 키우다 틔우다 영 양제 비싸다 ㅠㅠ
경쟁사,2023-04-06,5,naver,식물영양제,"['가격', '구입']",긍정,"[('저렴하다', 'Adjective'), ('가격', 'Noun'), ('에', 'Josa'), ('자다', 'Verb'), ('구입', 'Noun'), ('한', 'Determiner'), ('거', 'Noun'), ('같다', 'Adjective')]",저렴하다 가격 자다 구입 한 거 같다
경쟁사,2023-04-06,5,naver,식물영양제,"['ㅎㅎ적정', '용량', '감']",긍정,"[('쑥쑥', 'Adverb'), ('자르다', 'Verb'), ('ㅎㅎ', 'KoreanParticle'), ('적정', 'Noun'), ('용량', 'Noun'), ('이', 'Josa'), ('살짝', 'Noun'), ('감', 'Noun'), ('이', 'Josa'), ('안', 'VerbPrefix'), ('잡히다', 'Verb'), ('자다', 'Verb'), ('키우다', 'Verb'), ('보다', 'Verb')]",쑥쑥 자르다 ㅎㅎ 적정 용량 살짝 감 안 잡히다 자다 키우다 보다
경쟁사,2023-03-29,5,naver,식물영양제,"['제품', '배송', '감사']",긍정,"[('좋다', 'Adjective'), ('제품', 'Noun'), ('빠르다', 'Adjective'), ('배송', 'Noun'), ('감사하다', 'Verb')]",좋다 제품 빠르다 배송 감사하다
경쟁사,2023-03-29,5,naver,식물영양제,"['화초', '도착']",긍정,"[('화초', 'Noun'), ('를', 'Josa'), ('자다', 'Verb'), ('키우다', 'Verb'), ('위해', 'Noun'), ('기다리다', 'Verb'), ('일찍', 'Noun'), ('도착', 'Noun'), ('하다', 'Verb'), ('너무', 'Adverb'), ('고맙다', 'Adjective')]",화초 자다 키우다 위해 기다리다 일찍 도착 하다 너무 고맙다
경쟁사,2023-04-22,5,naver,식물영양제,['배송'],긍정,"[('배송', 'Noun'), ('빠르다', 'Adjective'), ('자다', 'Verb'), ('받다', 'Verb')]",배송 빠르다 자다 받다
경쟁사,2023-04-22,5,naver,식물영양제,['상추'],긍정,"[('상추', 'Noun'), ('들', 'Suffix'), ('자다', 'Verb'), ('크다', 'Verb'), ('좋다', 'Adjective')]",상추 들 자다 크다 좋다
경쟁사,2023-04-01,5,naver,식물영양제,"['아파트', '베란다', '딸기', '무화과', '화초', '딸기', '시비', '활기', '찿', '앞', '딸기', '확', '기대']",긍정,"[('아파트', 'Noun'), ('베란다', 'Noun'), ('에', 'Josa'), ('딸기', 'Noun'), ('무화과', 'Noun'), ('와', 'Josa'), ('여러가지', 'Noun'), ('화초', 'Noun'), ('를', 'Josa'), ('키우다', 'Verb'), ('시들하다', 'Adjective'), ('딸기', 'Noun'), ('가', 'Josa'), ('한번', 'Noun'), ('시비', 'Noun'), ('를', 'Josa'), ('하니', 'Noun'), ('활기', 'Noun'), ('를', 'Josa'), ('되찿아', 'Noun'), ('서', 'Josa'), ('앞', 'Noun'), ('으로', 'Josa'), ('딸기', 'Noun'), ('스확', 'Noun'), ('이', 'Josa'), ('기대', 'Noun'), ('가', 'Josa'), ('되다', 'Verb')]",아파트 베란다 딸기 무화과 여러가지 화초 키우다 시들하다 딸기 한번 시비 하니 활기 되찿아 앞 딸기 스확 기대 되다
경쟁사,2023-04-23,5,naver,식물영양제,['토마토'],긍정,"[('토마토', 'Noun'), ('기르다', 'Verb'), ('쓰리다', 'Adjective')]",토마토 기르다 쓰리다
